borrower_id,business_name,industry,nic_code,loan_type,loan_amount_lakhs,vintage_years,region,sanction_date,gstin,pan,employee_count_initial,is_defaulter,true_pd,default_month
MSME00060,Business_00060 Pvt Ltd,Agriculture Allied,A01,Working Capital,130.81,7.8,East,2022-01-17,27QZIDC2879G1Z5,WISPL7226F,128,0,0.21,-1
MSME00061,Business_00061 Pvt Ltd,Construction,F41-F43,Term Loan,215.47,4.9,Central,2023-09-15,07DSLTF3316F1Z5,EPKPW8090U,224,0,0.26,-1
MSME00062,Business_00062 Pvt Ltd,Textiles,C13,Term Loan,918.93,2.9,North,2023-05-03,18UVEDK8218X1Z5,XWGPC8492P,124,1,0.24,33
MSME00063,Business_00063 Pvt Ltd,Trading,G45-G47,Working Capital,204.16,0.5,Central,2022-04-04,32KCQKQ2317N1Z5,FPXPH3389B,6,0,0.3,-1
MSME00064,Business_00064 Pvt Ltd,Agriculture Allied,A01,Term Loan,391.5,4.8,North,2022-01-10,15CTVZM5153U1Z5,IMNPX2110J,206,0,0.22,-1
MSME00065,Business_00065 Pvt Ltd,Trading,G45-G47,Term Loan,327.74,0.9,South,2023-12-25,31GWPPV9553C1Z5,YNQPR6403L,104,0,0.28,-1
MSME00066,Business_00066 Pvt Ltd,Agriculture Allied,A01,Term Loan,366.66,0.5,South,2023-06-12,33CSINS7729Z1Z5,VHBPZ2606Q,13,0,0.27,-1
MSME00067,Business_00067 Pvt Ltd,Construction,F41-F43,Term Loan,805.44,5.5,Central,2023-05-04,13VPHXZ9887W1Z5,HFJPG1542I,75,0,0.23,-1
MSME00068,Business_00068 Pvt Ltd,Pharma,C21,Term Loan,124.47,12.2,South,2022-05-24,03GTRXB0498U1Z5,EXTPF3384Q,16,0,0.1,-1
MSME00069,Business_00069 Pvt Ltd,Auto Ancillary,C29,Working Capital,201.85,3.1,South,2023-07-08,27RZDHW4346U1Z5,OGSPK2520F,166,0,0.22,-1
MSME00070,Business_00070 Pvt Ltd,IT/ITES,J62,Working Capital,119.72,0.5,East,2023-05-30,08GWYXM7567E1Z5,WEMPQ1197H,83,0,0.18,-1
MSME00071,Business_00071 Pvt Ltd,Pharma,C21,Working Capital,66.25,10.6,North,2023-04-15,26SJKHF3160W1Z5,HRLPU4377M,181,1,0.12,21
MSME00072,Business_00072 Pvt Ltd,Food Processing,C10,Trade Finance,113.32,0.5,South,2023-01-12,10MJGJP2333P1Z5,YDAPK8039Q,183,0,0.25,-1
MSME00073,Business_00073 Pvt Ltd,Trading,G45-G47,Working Capital,107.27,10.1,Central,2023-10-30,06JYDWL9892S1Z5,CSWPC5935Y,144,1,0.22,30
MSME00074,Business_00074 Pvt Ltd,Food Processing,C10,Working Capital,45.24,2.5,East,2023-05-09,22XADMH5170L1Z5,GAHPP3729L,116,0,0.23,-1
MSME00075,Business_00075 Pvt Ltd,Pharma,C21,Trade Finance,222.47,2.3,South,2023-11-16,07PNJCL7870Q1Z5,ECMPS2321V,130,0,0.12,-1
MSME00076,Business_00076 Pvt Ltd,Agriculture Allied,A01,Trade Finance,113.07,3.9,Central,2023-04-29,28AXOMF4530W1Z5,QUVPQ0658D,10,0,0.21,-1
MSME00077,Business_00077 Pvt Ltd,IT/ITES,J62,Term Loan,195.67,15.7,North,2023-03-28,10YDMDP8393H1Z5,SVHPE2205J,30,1,0.08,30
MSME00078,Business_00078 Pvt Ltd,IT/ITES,J62,Working Capital,266.6,11.5,South,2023-06-20,27DIKXE8793T1Z5,WIFPX5120U,201,1,0.1,12
MSME00079,Business_00079 Pvt Ltd,Manufacturing,C10-C33,Working Capital,99.86,3.2,Central,2022-03-16,01TMXEV3497L1Z5,KFVPB0638K,53,0,0.2,-1
MSME00080,Business_00080 Pvt Ltd,IT/ITES,J62,Working Capital,311.73,6.0,Central,2022-02-09,32YCZDQ4355M1Z5,XFPPJ2790Y,183,0,0.1,-1
MSME00081,Business_00081 Pvt Ltd,Auto Ancillary,C29,Working Capital,59.15,4.3,West,2022-10-29,35NGCFM9076I1Z5,JYJPX9388L,78,0,0.22,-1
MSME00082,Business_00082 Pvt Ltd,IT/ITES,J62,Working Capital,37.43,5.9,Central,2023-07-06,14SXRIA9690O1Z5,ZKUPF6860K,89,0,0.1,-1
MSME00083,Business_00083 Pvt Ltd,Pharma,C21,Term Loan,139.63,8.8,West,2022-03-03,01MTWBC3583V1Z5,YVRPZ8048P,224,0,0.1,-1
MSME00084,Business_00084 Pvt Ltd,Manufacturing,C10-C33,Trade Finance,16.94,0.5,North,2023-05-18,03ELLZT6565L1Z5,NABPK6918N,173,0,0.22,-1
MSME00085,Business_00085 Pvt Ltd,Pharma,C21,Working Capital,185.79,2.0,North,2022-09-02,02NWPXG3348E1Z5,ILJPX1922X,15,0,0.15,-1
MSME00086,Business_00086 Pvt Ltd,Pharma,C21,Term Loan,71.16,16.0,East,2022-01-18,02ECJHZ9134L1Z5,MXVPP6076U,110,0,0.1,-1
MSME00087,Business_00087 Pvt Ltd,Services,S90-S99,Term Loan,103.97,14.9,West,2023-10-14,20NPEZP3203I1Z5,UBMPL0892U,51,1,0.13,24
MSME00088,Business_00088 Pvt Ltd,Manufacturing,C10-C33,Working Capital,159.66,0.5,Central,2023-02-02,01PWCXF0947P1Z5,KXLPG6999T,146,0,0.25,-1
MSME00089,Business_00089 Pvt Ltd,Pharma,C21,Term Loan,201.79,1.1,East,2023-08-17,35DGOKP5688R1Z5,JDJPV9361W,20,0,0.18,-1
MSME00090,Business_00090 Pvt Ltd,Services,S90-S99,Working Capital,63.28,25.4,East,2022-07-08,03TVEVX1584Q1Z5,CXOPE8340C,48,0,0.15,-1
MSME00091,Business_00091 Pvt Ltd,Services,S90-S99,Working Capital,17.65,3.4,North,2023-09-12,20XMTKH8441Y1Z5,ODIPH1534Z,62,0,0.18,-1
MSME00092,Business_00092 Pvt Ltd,Manufacturing,C10-C33,Term Loan,584.48,4.3,Central,2022-04-14,04CBCPT8594I1Z5,IPDPP4665S,115,0,0.18,-1
MSME00093,Business_00093 Pvt Ltd,Food Processing,C10,Working Capital,160.53,0.9,West,2023-10-08,35WMZVO7593J1Z5,QYFPS0520M,25,0,0.28,-1
MSME00094,Business_00094 Pvt Ltd,Agriculture Allied,A01,Trade Finance,512.35,11.2,North,2022-12-10,16LGGXR5273O1Z5,EACPC5372H,146,0,0.18,-1
MSME00095,Business_00095 Pvt Ltd,Auto Ancillary,C29,Working Capital,55.86,1.3,East,2023-01-06,13VVAHS0900U1Z5,LWRPM7086V,208,0,0.27,-1
MSME00096,Business_00096 Pvt Ltd,Agriculture Allied,A01,Term Loan,48.96,1.1,South,2022-02-02,05AUWUY3870D1Z5,XYOPX5387X,30,0,0.27,-1
MSME00097,Business_00097 Pvt Ltd,IT/ITES,J62,Working Capital,199.5,1.3,East,2023-01-09,24PNPBX3704I1Z5,PSPPZ8601R,245,0,0.18,-1
MSME00098,Business_00098 Pvt Ltd,Auto Ancillary,C29,Working Capital,77.44,12.6,South,2022-06-27,03PDZWN5321J1Z5,AQTPG5677L,205,0,0.19,-1
MSME00099,Business_00099 Pvt Ltd,IT/ITES,J62,Working Capital,148.79,6.1,North,2022-01-12,25SOGOQ7010D1Z5,PCGPF7284R,135,0,0.1,-1
MSME00100,Business_00100 Pvt Ltd,Pharma,C21,Term Loan,778.93,7.3,West,2023-04-01,02QQBVB1747L1Z5,DWAPA8206G,220,0,0.1,-1
MSME00101,Business_00101 Pvt Ltd,Trading,G45-G47,Trade Finance,159.45,2.4,Central,2023-10-05,14NXLBN6878H1Z5,NBMPH2241T,53,0,0.22,-1
MSME00102,Business_00102 Pvt Ltd,Manufacturing,C10-C33,Trade Finance,136.61,12.0,South,2022-09-06,20PJGOY8365L1Z5,RPIPV0871S,45,0,0.14,-1
MSME00103,Business_00103 Pvt Ltd,Auto Ancillary,C29,Term Loan,222.96,7.8,Central,2023-03-24,22XBSXT3190W1Z5,GDHPA9306Y,23,0,0.17,-1
MSME00104,Business_00104 Pvt Ltd,Auto Ancillary,C29,Term Loan,41.53,6.9,North,2023-07-24,07VKTTY4883B1Z5,APXPJ5570I,123,1,0.17,27
MSME00105,Business_00105 Pvt Ltd,Pharma,C21,Term Loan,491.39,17.7,North,2022-01-04,02YISOU4119L1Z5,KFSPM0343G,144,0,0.1,-1
MSME00106,Business_00106 Pvt Ltd,Food Processing,C10,Term Loan,520.55,2.3,North,2022-08-24,29ABNGQ0813K1Z5,OVJPE2822S,59,1,0.21,22
MSME00107,Business_00107 Pvt Ltd,Services,S90-S99,Term Loan,292.22,4.7,West,2022-06-22,19NDKPW9118V1Z5,LNHPR3702D,106,0,0.16,-1
MSME00108,Business_00108 Pvt Ltd,Pharma,C21,Term Loan,46.35,12.0,South,2022-11-18,31WUUDH6911V1Z5,FBGPS7183N,6,0,0.1,-1
MSME00109,Business_00109 Pvt Ltd,Textiles,C13,Trade Finance,111.63,7.8,Central,2023-01-06,28KQGHJ7260M1Z5,XTVPX4513E,32,0,0.2,-1
MSME00110,Business_00110 Pvt Ltd,Services,S90-S99,Working Capital,284.52,4.1,East,2023-07-02,31SVIUP4885U1Z5,AWFPT3205E,174,0,0.18,-1
MSME00111,Business_00111 Pvt Ltd,Manufacturing,C10-C33,Trade Finance,81.78,0.5,North,2022-10-23,11XXOGN7221Q1Z5,FZAPR6855E,197,1,0.22,22
MSME00112,Business_00112 Pvt Ltd,Services,S90-S99,Term Loan,526.28,5.3,Central,2023-02-04,03CGJYQ7023H1Z5,KEFPB9532M,33,0,0.13,-1
MSME00113,Business_00113 Pvt Ltd,Food Processing,C10,Working Capital,94.07,3.7,Central,2022-02-27,33RKUFP4296Q1Z5,WOPPE9274K,7,1,0.23,22
MSME00114,Business_00114 Pvt Ltd,Services,S90-S99,Working Capital,159.17,1.0,West,2023-06-14,18KNLYT7860E1Z5,SPNPK8122A,91,0,0.23,-1
MSME00115,Business_00115 Pvt Ltd,Manufacturing,C10-C33,Working Capital,64.73,10.7,South,2023-07-02,27XZMXL8835S1Z5,LGKPM5556F,140,0,0.17,-1
MSME00116,Business_00116 Pvt Ltd,Food Processing,C10,Term Loan,195.57,2.1,West,2023-02-12,01MFAYV0201V1Z5,IUQPQ0135G,82,0,0.21,-1
MSME00117,Business_00117 Pvt Ltd,Agriculture Allied,A01,Trade Finance,164.96,2.5,West,2023-10-03,33ZUVOD5463A1Z5,MUGPR5289Z,160,0,0.21,-1
MSME00118,Business_00118 Pvt Ltd,Auto Ancillary,C29,Working Capital,37.84,5.6,Central,2023-05-28,34FZKRM4363G1Z5,DUUPL1361E,174,0,0.19,-1
MSME00119,Business_00119 Pvt Ltd,Auto Ancillary,C29,Trade Finance,147.19,3.4,South,2022-03-05,27XGBKA4607C1Z5,PUUPW9670C,217,0,0.19,-1
MSME00120,Business_00120 Pvt Ltd,IT/ITES,J62,Trade Finance,18.5,0.5,South,2023-07-28,08NNBFP9898U1Z5,AGUPB9164D,126,0,0.15,-1
MSME00121,Business_00121 Pvt Ltd,Agriculture Allied,A01,Working Capital,55.63,2.5,South,2023-02-24,15SOVLI5346J1Z5,NXCPM2712D,135,0,0.24,-1
MSME00122,Business_00122 Pvt Ltd,Agriculture Allied,A01,Trade Finance,177.81,0.5,North,2022-05-26,14CLYAX4981A1Z5,JCLPX5263C,64,0,0.26,-1
MSME00123,Business_00123 Pvt Ltd,Services,S90-S99,Trade Finance,266.18,1.1,South,2022-09-29,10LKIED3700O1Z5,RHXPB8652C,114,0,0.2,-1
MSME00124,Business_00124 Pvt Ltd,Auto Ancillary,C29,Term Loan,277.4,0.5,Central,2022-01-17,24ORZFB4268B1Z5,MTYPX1495N,55,0,0.25,-1
MSME00125,Business_00125 Pvt Ltd,Manufacturing,C10-C33,Term Loan,51.87,1.0,North,2022-04-08,32XNZXW3398L1Z5,UAIPJ5452I,210,0,0.23,-1
MSME00126,Business_00126 Pvt Ltd,Construction,F41-F43,Trade Finance,250.39,2.0,East,2023-03-28,10IUWGY6763R1Z5,LTFPP5181J,128,0,0.25,-1
MSME00127,Business_00127 Pvt Ltd,Construction,F41-F43,Term Loan,65.02,3.9,West,2022-08-31,07MIRGT6465B1Z5,LEBPI1702W,151,0,0.26,-1
MSME00128,Business_00128 Pvt Ltd,Food Processing,C10,Working Capital,147.14,12.6,South,2023-04-24,18XOKYL6067G1Z5,KVRPY1502U,8,0,0.2,-1
MSME00129,Business_00129 Pvt Ltd,Auto Ancillary,C29,Trade Finance,56.03,3.9,East,2022-07-20,29UWJPK1811E1Z5,GCYPO3822T,91,0,0.19,-1
MSME00130,Business_00130 Pvt Ltd,Auto Ancillary,C29,Term Loan,90.39,6.1,South,2023-04-18,14HFIFU0721W1Z5,RNUPI7777N,139,0,0.17,-1
MSME00131,Business_00131 Pvt Ltd,Construction,F41-F43,Term Loan,76.65,2.2,West,2022-06-28,34NAORV1003X1Z5,FMGPO9452E,45,1,0.26,26
MSME00132,Business_00132 Pvt Ltd,Auto Ancillary,C29,Working Capital,100.6,7.0,Central,2023-05-23,25PTFOZ0660H1Z5,ZLCPU9009F,148,0,0.19,-1
MSME00133,Business_00133 Pvt Ltd,Services,S90-S99,Term Loan,152.02,4.8,Central,2023-03-29,05MOIHS0211D1Z5,XTMPO6414B,128,0,0.16,-1
MSME00134,Business_00134 Pvt Ltd,Textiles,C13,Working Capital,135.25,3.1,West,2022-09-27,02XEQVG0286O1Z5,YQSPA4354W,69,0,0.26,-1
MSME00135,Business_00135 Pvt Ltd,Trading,G45-G47,Trade Finance,119.94,1.1,East,2022-08-22,04FFOCB4724P1Z5,WJUPJ0816S,185,0,0.27,-1
MSME00136,Business_00136 Pvt Ltd,Agriculture Allied,A01,Working Capital,26.73,1.8,North,2023-09-16,19WPFVA1574L1Z5,ZVPPU5948M,187,0,0.29,-1
MSME00137,Business_00137 Pvt Ltd,IT/ITES,J62,Working Capital,112.24,4.9,North,2023-05-01,05YVMUZ5869P1Z5,LXQPY1459A,24,0,0.13,-1
MSME00138,Business_00138 Pvt Ltd,Food Processing,C10,Working Capital,21.98,2.8,South,2023-08-01,26UDUHK5346X1Z5,LNWPH0931E,94,0,0.23,-1
MSME00139,Business_00139 Pvt Ltd,Textiles,C13,Working Capital,44.39,11.0,West,2022-12-04,05RVYCG7520C1Z5,RIIPJ4430Z,120,0,0.23,-1
MSME00140,Business_00140 Pvt Ltd,Construction,F41-F43,Term Loan,130.64,1.3,West,2023-03-24,11FKDQV0722N1Z5,LCDPW6663Y,136,1,0.31,30
MSME00141,Business_00141 Pvt Ltd,Agriculture Allied,A01,Trade Finance,89.73,0.5,North,2023-08-07,07ZXKPX2408X1Z5,TFAPA5005X,41,1,0.26,18
MSME00142,Business_00142 Pvt Ltd,Auto Ancillary,C29,Trade Finance,38.35,4.5,East,2022-12-23,10RJAMD8729L1Z5,IFQPW1699T,132,0,0.19,-1
MSME00143,Business_00143 Pvt Ltd,IT/ITES,J62,Working Capital,269.6,10.9,West,2022-02-18,16LYZXJ4882L1Z5,AYPPP0656Z,86,0,0.1,-1
MSME00144,Business_00144 Pvt Ltd,Auto Ancillary,C29,Working Capital,336.43,2.3,Central,2023-05-11,08DZGZX6407U1Z5,QQFPM7291T,213,1,0.22,18
MSME00145,Business_00145 Pvt Ltd,Manufacturing,C10-C33,Trade Finance,587.3,5.2,Central,2022-12-12,03BSYBN9011K1Z5,HOIPM5604O,26,0,0.14,-1
MSME00146,Business_00146 Pvt Ltd,Manufacturing,C10-C33,Trade Finance,271.34,1.3,West,2023-12-03,31UQMLZ7154R1Z5,VZNPF5634V,48,0,0.22,-1
MSME00147,Business_00147 Pvt Ltd,IT/ITES,J62,Term Loan,126.99,4.1,East,2022-10-20,10LQVNV2782Y1Z5,ITTPG0671T,112,0,0.11,-1
MSME00148,Business_00148 Pvt Ltd,IT/ITES,J62,Term Loan,125.03,7.7,Central,2023-11-20,08EVLAU9960Z1Z5,MNDPJ9566D,102,0,0.08,-1
MSME00149,Business_00149 Pvt Ltd,Construction,F41-F43,Working Capital,61.91,10.1,East,2023-11-04,13WDDOJ6528O1Z5,STIPZ6224X,131,0,0.25,-1
MSME00150,Business_00150 Pvt Ltd,IT/ITES,J62,Trade Finance,487.82,0.6,North,2022-05-30,11BZBAK4952T1Z5,EFIPI5470C,65,0,0.15,-1
MSME00151,Business_00151 Pvt Ltd,Services,S90-S99,Term Loan,163.37,2.2,South,2023-08-05,05TISEW6586K1Z5,FHPPF9536G,107,1,0.16,34
MSME00152,Business_00152 Pvt Ltd,Auto Ancillary,C29,Working Capital,248.49,5.1,North,2023-06-29,04KZIFQ8655D1Z5,PAPPC8537L,131,0,0.19,-1
MSME00153,Business_00153 Pvt Ltd,Textiles,C13,Working Capital,233.49,0.5,South,2022-09-17,03XXRPU8863T1Z5,WNPPZ5337S,238,1,0.31,31
MSME00154,Business_00154 Pvt Ltd,Pharma,C21,Trade Finance,138.75,5.9,Central,2022-11-18,10KGSSU5706H1Z5,YHDPC3152S,76,0,0.09,-1
MSME00155,Business_00155 Pvt Ltd,IT/ITES,J62,Working Capital,28.18,3.8,South,2022-03-18,10BDVYB3947X1Z5,LLQPX7843I,50,0,0.13,-1
